title,url,image,ingredients,steps
Bourbon Chicken,https://www.allrecipes.com/recipe/9025/bourbon-chicken/,https://www.allrecipes.com/thmb/QAZ7QzbK5b4drQlAaUvYy4xpqsE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9025-bourbon-chicken-ddmfs-3x4-1291-a7891c2a33e04b7dbf1f1112d2fb74d0.jpg,"1 ½ pounds skinless, boneless chicken thighs | 2 tablespoons cornstarch | 2 tablespoons olive oil | 2 tablespoons dried minced onion | 0.5 teaspoon garlic powder | 1 teaspoon ground ginger | 1/3 cup reduced sodium soy sauce | 1/3 cup reduced-sodium chicken broth | 1/4 cup bourbon | 0.5 cup packed brown sugar | 1 tablespoon cider vinegar | 1/4 teaspoon crushed red pepper | 2 cups hot cooked rice | 2 green onions, sliced","Gather Ingredients. | Toss chicken with 1 tablespoon cornstarch in a medium bowl. | Heat 1 tablespoon oil in a 12-inch skillet over medium-high heat; add chicken. Cook and stir until browned; transfer to a plate using a slotted spoon. | Heat remaining 1 tablespoon oil in same skillet. Add onion, garlic, and ginger; cook and stir until softened and fragrant, 1 to 3 minutes. | Stir remaining 1 tablespoon cornstarch, soy sauce, broth, bourbon, brown sugar, vinegar, and crushed red pepper together in a small bowl. | Add sauce mixture to skillet; cook and stir until thickened and bubbly. | Return chicken to skillet. Cook and stir until coated in sauce and heated through, about 2 minutes. | Serve over rice. Top with green onions."
Easy Sesame Chicken,https://www.allrecipes.com/recipe/8502498/easy-sesame-chicken/,https://www.allrecipes.com/thmb/s2k8DwA08239iHmuvpxb9YD3e9I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8502498_Easy-Sesame-Chicken_CookingWithSheila_4x3-cf87d01e127145c5bdc926053d39fac0.jpg,"0.5 cup cornstarch | 1 teaspoon salt | 0.5 teaspoon freshly ground black pepper | 4 skinless, boneless chicken breast halves, cut into bite-sized pieces | 0.25 cup vegetable oil | 0.25 cup honey | 0.25 cup reduced-sodium soy sauce | 0.25 cup rice vinegar | 1 tablespoon chile-garlic sauce (such as Sriracha®) | 2 cloves garlic, chopped | 2 teaspoons minced fresh ginger root | 2 teaspoons sesame oil | 2 tablespoons toasted sesame seeds, divided | 2 green onions, chopped","Whisk cornstarch, salt, and black pepper together in a large bowl; add chicken and toss to coat. | Heat oil in a skillet over medium-high heat. Fry chicken in batches, turning occasionally, until lightly browned, about 5 minutes. | Whisk together honey, soy sauce, rice vinegar, chile-garlic sauce, garlic, ginger, sesame oil, and 1 tablespoon sesame seeds in a small bowl. | Pour sauce over chicken in the skillet; toss to coat chicken. Reduce heat to medium-low; simmer until sauce thickens and chicken is no longer pink in the center and the juices run clear, about 2 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C), about 2 minutes. | Sprinkle with remaining 1 tablespoon sesame seeds and chopped green onions."
Chicken Bacon Ranch Pasta,https://www.allrecipes.com/recipe/8479616/chicken-bacon-ranch-pasta/,https://www.allrecipes.com/thmb/ouJN3hq-h4u2-UBH3Z-jYELYZ1A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chicken-Bacon-Ranch-Pasta-4x3-1-8795935d19504291a9ffa427437145dc.jpg,"3.75 cups uncooked rotini pasta | 4 thick-cut bacon slices | 1 pound skinless, boneless chicken breasts, cut into bite-sized pieces | 1 tablespoon dry ranch dressing mix | 2 tablespoons butter | 2 tablespoons flour | 1.5 cups 2% milk | 0.5 cup reserved pasta water | 1 (8 ounce) package cream cheese, softened | 5 teaspoons dry ranch dressing mix | 1 pinch salt | 1 tablespoon chopped fresh parsley","Bring a large pot of lightly salted water to a boil; cook rotini at a boil until tender yet firm to the bite, about 8 minutes. Drain rotini, saving 1/2 cup of pasta water. | Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned and crispy, about 10 minutes. Remove bacon and drain on paper towels. Leave rendered bacon grease in the skillet. | Sprinkle chicken pieces with 1 tablespoon ranch seasoning. Add to the skillet with the bacon grease and cook until golden brown, 5 to 8 minutes. Remove cooked chicken from skillet and set aside. | Rinse out skillet. Melt down 2 tablespoon butter in the skillet over medium heat. Whisk in flour until smooth and thickened, about 2 minutes. Slowly add in milk, whisking until sauce is smooth. Add pasta water ,1 tablespoon at a time, if the sauce is too thick. | Stir softened cream cheese into sauce until well combined. Mix in remaining 5 teaspoons of ranch seasoning and season with salt. Mix until well combined. Add cooked pasta and chicken back into the skillet and mix until well coated with sauce. | Finely chop cooked bacon. Mix into pasta dish. Serve garnished with chopped parsley if desired."
Spicy Thai Basil Chicken (Pad Krapow Gai),https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/,https://www.allrecipes.com/thmb/NimapCyPk8WQ1gcO-4J5Y6SQgLk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/257938-spicy-thai-basil-chicken-chef-john-4x3-84457b900e2e4ec5823e8ace55df7b34.jpg,"0.33333334326744 cup chicken broth | 1 tablespoon oyster sauce | 1 tablespoon soy sauce, or as needed | 2 teaspoons fish sauce | 1 teaspoon white sugar | 1 teaspoon brown sugar | 2 tablespoons vegetable oil | 1 pound skinless, boneless chicken thighs, coarsely chopped | 0.25 cup sliced shallots | 4 cloves garlic, minced | 2 tablespoons minced Thai chilies, Serrano, or other hot pepper | 1 cup very thinly sliced fresh basil leaves | 2 cups hot cooked rice","Gather ingredients. | Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended. | Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes. | Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes. | Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute. | Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat. | Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice. | Serve hot and enjoy!"
Chicken Katsu,https://www.allrecipes.com/recipe/72068/chicken-katsu/,https://www.allrecipes.com/thmb/6-GMzVI_cA_5HqdfG8jXXAANPo0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-2000-1-ed10b562f0a34901b18e8f931f0782ef.jpg,"4 skinless, boneless chicken breast halves - pounded to 1/2 inch thickness | salt and pepper to taste | 2 tablespoons all-purpose flour | 1 egg, beaten | 1 cup panko bread crumbs | 1 cup oil for frying, or as needed","Gather all ingredients. | Season chicken breasts on both sides with salt and pepper. | Place flour, beaten egg, and panko crumbs into separate shallow dishes. | Coat chicken breasts in flour, shaking off any excess; dip into egg, and then press into panko crumbs until well coated on both sides. | Heat oil in a large skillet over medium-high heat. Place chicken in the hot oil, and fry until golden brown, 3 or 4 minutes per side. Transfer to a paper towel-lined plate to drain. | Serve and enjoy."
Chicken Marsala,https://www.allrecipes.com/recipe/8887/chicken-marsala/,https://www.allrecipes.com/thmb/3Wlwc5yDGFPIFPTj_PdWTYDqTL8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8887-chicken-marsala-DDMFS-4x3-a0be8776efe74429a586af0ac1d7c1dd.jpg,"0.25 cup all-purpose flour for coating | 0.5 teaspoon salt | 0.25 teaspoon ground black pepper | 0.5 teaspoon dried oregano | 4 medium skinless, boneless chicken breast halves - pounded 1/4 inch thick | 4 tablespoons butter | 4 tablespoons olive oil | 1 cup sliced mushrooms | 0.5 cup Marsala wine | 0.25 cup cooking sherry","Gather all ingredients. | In a shallow dish or bowl, mix together the flour, salt, pepper and oregano. | Coat chicken pieces in flour mixture. | In a large skillet, melt butter in olive oil over medium heat. Place chicken in the pan, and lightly brown. | Turn over chicken pieces, and add mushrooms. Pour in wine and sherry. | Cover skillet; simmer chicken 10 minutes, turning once, until no longer pink and juices run clear. | Serve hot and enjoy!"
Air Fryer Chicken Thighs,https://www.allrecipes.com/recipe/272858/air-fryer-chicken-thighs/,https://www.allrecipes.com/thmb/hmJM5rfj6jYz268a00xLv-sC0nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/272858-air-fryer-chicken-thighs-4x3-671aea4bb6aa436bbd29d6e1fbd69f98.jpg,"4 skin-on, boneless chicken thighs | 2 teaspoons extra-virgin olive oil | 1 teaspoon smoked paprika | 0.75 teaspoon garlic powder | 0.5 teaspoon salt | 0.5 teaspoon ground black pepper","Gather all ingredients and preheat an air fryer to 400 degrees F (200 degrees C). | Pat chicken thighs dry with a paper towel and brush skins with olive oil. Place chicken thighs, skin-side down, in a single layer on a plate. | Combine smoked paprika, garlic powder, salt, and pepper in a bowl. Sprinkle 1/2 of the seasoning mixture evenly over thighs. Turn thighs over and evenly sprinkle with remaining seasoning. Arrange thighs, skin-side up, in a single layer in the air fryer basket. | Cook in the preheated air fryer until thighs are brown and the juices run clear, about 18 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). | Serve and enjoy!"
Sweet and Sour Chicken Stir-Fry,https://www.allrecipes.com/recipe/17747/sweet-and-sour-chicken-iii/,https://www.allrecipes.com/thmb/UIoHTsYdhZPWcvTQz67mBwnTnNM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17747sweet-and-sour-chicken-iiiFranceC4x3-a1e5f97e0e0141199313784a95df38b1.jpg,"2 tablespoons vegetable oil | 1 pound skinless, boneless chicken breast meat - cubed | 1 cup carrot strips | 0.5 cup sliced green bell pepper | 0.5 cup sliced red bell pepper | 1 clove garlic, minced | 0.25 cup low sodium soy sauce | 1 tablespoon cornstarch | 1 (8 ounce) can pineapple chunks, juice reserved | 1 tablespoon vinegar | 1 tablespoon brown sugar | 0.5 teaspoon ground ginger","Heat oil in a wok or large skillet over medium-high heat. Add chicken and stir-fry in hot oil until browned. Add carrots, bell peppers, and garlic; cook and stir for 1 to 2 minutes. | Mix soy sauce and cornstarch together in a small bowl until well combined; pour mixture into the wok or skillet. Stir in pineapple with juice, vinegar, brown sugar, and ginger. Bring to a full boil and cook until vegetables are tender and sauce is thickened."
Pesto Pasta with Chicken,https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/,https://www.allrecipes.com/thmb/ALYcbI-A_YYn5jiboWYPE2rt310=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-46982-pesto-pasta-with-chicken-DDMFS-4x3-5e043df9d5174cf4ac53612ee0f5b56e.jpg,"1 (16 ounce) package bow tie pasta | 1 teaspoon olive oil | 2 cloves garlic, minced | 2 skinless, boneless chicken breasts, cut into bite-sized pieces | 1 pinch crushed red pepper flakes, or to taste | 0.5 cup pesto sauce | 0.33333334326744 cup oil-packed sun-dried tomatoes, drained and cut into strips","Gather all ingredients. | Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain. | Heat oil in a large skillet over medium heat. Sauté garlic until tender. | Stir in chicken and season with red pepper flakes. Cook until chicken is golden and cooked through. | Combine pasta, chicken, pesto, and sun-dried tomatoes in a large bowl; toss to coat evenly."
Blackened Chicken,https://www.allrecipes.com/recipe/8571/blackened-chicken/,https://www.allrecipes.com/thmb/k0DE0MJdtf27vm62tcjx9T2ydvs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-8571-Blackened-Chicken-DDMFS-4x3-56fcd2c186064dbfb19b316895f3e9a3.jpg,"0.5 teaspoon paprika | 0.25 teaspoon cayenne pepper | 0.25 teaspoon ground cumin | 0.25 teaspoon dried thyme | 0.125 teaspoon onion powder | 0.125 teaspoon ground white pepper | 0.125 teaspoon salt | 2 skinless, boneless chicken breast halves | cooking spray","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Spray a baking sheet with cooking spray. | Heat a cast iron skillet over high heat until it is smoking hot, about 3 to 5 minutes. | While the skillet is heating, mix paprika, cayenne, cumin, thyme, onion powder, white pepper, and salt together in a small bowl. | Spray chicken breasts on both sides with cooking spray, then coat evenly with spice mixture. | Place chicken in the hot pan and cook for 1 minute. Turn, and cook 1 minute on other side. Transfer chicken to the prepared baking sheet. | Bake in the preheated oven until chicken is no longer pink in the center and the juices run clear, about 5 to 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). | Serve and enjoy!"
