fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",sr_legacy_food,19,2019-04-01,399.1,2.0,7.5,80.89
167565,"Candies, NESTLE, BUTTERFINGER Bar",sr_legacy_food,19,2019-04-01,483.3,5.4,18.9,72.9
167566,"Candies, caramels, chocolate-flavor roll",sr_legacy_food,19,2019-04-01,387.1,1.59,3.31,87.73
167567,"Baking chocolate, unsweetened, liquid",sr_legacy_food,19,2019-04-01,622.5,12.1,47.7,36.2
167568,"Baking chocolate, unsweetened, squares",sr_legacy_food,19,2019-04-01,641.8,14.32,52.31,28.42
167569,"Candies, confectioner's coating, yogurt",sr_legacy_food,19,2019-04-01,522.2,5.87,27.0,63.94
167570,"Candies, confectioner's coating, peanut butter",sr_legacy_food,19,2019-04-01,528.9,18.3,29.8,46.88
167571,"Candies, white chocolate",sr_legacy_food,19,2019-04-01,549.3,5.87,32.09,59.24
167572,"Ice creams, vanilla, light",sr_legacy_food,19,2019-04-01,180.4,4.78,4.83,29.46
167573,"Ice creams, vanilla, rich",sr_legacy_food,19,2019-04-01,249.0,3.5,16.2,22.29
167574,"Desserts, flan, caramel custard, prepared-from-recipe",sr_legacy_food,19,2019-04-01,145.5,4.53,4.03,22.78
167575,"Ice creams, vanilla",sr_legacy_food,19,2019-04-01,207.4,3.5,11.0,23.6
167576,"Ice creams, vanilla, light, soft-serve",sr_legacy_food,19,2019-04-01,130.2,4.9,2.6,21.8
167577,"Sherbet, orange",sr_legacy_food,19,2019-04-01,144.0,1.1,2.0,30.4
167578,"Candies, fudge, peanut butter, prepared-from-recipe",sr_legacy_food,19,2019-04-01,385.4,3.78,6.59,77.75
167579,"Candies, fudge, vanilla, prepared-from-recipe",sr_legacy_food,19,2019-04-01,381.8,1.05,5.45,82.15
167580,"Candies, fudge, vanilla with nuts",sr_legacy_food,19,2019-04-01,433.6,3.0,13.69,74.61
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",sr_legacy_food,19,2019-04-01,556.8,9.7,34.0,53.0
167582,"Candies, NESTLE, BABY RUTH Bar",sr_legacy_food,19,2019-04-01,475.2,5.4,21.6,64.8
167583,"Candies, TWIZZLERS Strawberry Twists Candy",sr_legacy_food,19,2019-04-01,347.8,2.56,2.32,79.16
167584,"Syrups, table blends, pancake, with butter",sr_legacy_food,19,2019-04-01,290.5,0.0,0.09,72.43
167585,"Ice creams, chocolate, light",sr_legacy_food,19,2019-04-01,187.5,5.0,7.19,25.7
167586,"Candies, NESTLE, CHUNKY Bar",sr_legacy_food,19,2019-04-01,519.1,7.5,27.5,60.4
167587,"Candies, milk chocolate",sr_legacy_food,19,2019-04-01,535.1,7.65,29.66,59.4
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",sr_legacy_food,19,2019-04-01,105.3,2.76,1.7,19.74
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",sr_legacy_food,19,2019-04-01,100.9,2.9,1.73,18.43
167590,"Andrea's, Gluten Free Soft Dinner Roll",sr_legacy_food,18,2019-04-01,257.4,5.65,8.2,40.24
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",sr_legacy_food,18,2019-04-01,455.6,10.91,15.92,67.18
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",sr_legacy_food,18,2019-04-01,473.9,2.19,17.89,76.03
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",sr_legacy_food,18,2019-04-01,487.2,2.19,18.79,77.34
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",sr_legacy_food,18,2019-04-01,466.7,9.42,18.42,65.81
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",sr_legacy_food,18,2019-04-01,459.0,11.16,17.29,64.7
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",sr_legacy_food,18,2019-04-01,469.5,9.67,18.93,65.11
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",sr_legacy_food,18,2019-04-01,320.1,3.13,10.7,52.83
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",sr_legacy_food,18,2019-04-01,298.4,5.4,8.02,51.15
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",sr_legacy_food,18,2019-04-01,309.4,7.25,9.34,49.09
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",sr_legacy_food,18,2019-04-01,328.8,11.8,11.6,44.29
167601,"Van's, Gluten Free, Totally Original Pancakes",sr_legacy_food,18,2019-04-01,215.5,3.31,4.55,40.32
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",sr_legacy_food,11,2019-04-01,258.8,15.34,1.39,46.24
