fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",sr_legacy_food,23,2019-04-01,2289.0,6.6,37.0,51.3,1.2
167555,"Snacks, pretzels, hard, plain, salted",sr_legacy_food,23,2019-04-01,384.0,10.04,2.93,80.39,3.4
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",sr_legacy_food,23,2019-04-01,457.0,7.5,16.7,70.9,2.4
167557,"Snacks, rice cakes, brown rice, sesame seed",sr_legacy_food,23,2019-04-01,1640.0,7.6,3.8,81.5,5.4
167558,"Snacks, tortilla chips, plain, white corn, salted",sr_legacy_food,23,2019-04-01,472.0,7.1,20.68,67.78,5.4
167559,"Snacks, tortilla chips, nacho cheese",sr_legacy_food,23,2019-04-01,519.0,7.36,27.42,60.81,5.1
167560,"Snacks, tortilla chips, ranch-flavor",sr_legacy_food,23,2019-04-01,501.0,7.19,24.63,62.74,4.0
167561,"Snacks, trail mix, regular",sr_legacy_food,23,2019-04-01,1933.0,13.8,29.4,44.9,
167562,"Candies, ALMOND JOY Candy Bar",sr_legacy_food,19,2019-04-01,479.0,4.13,26.93,59.51,5.0
167563,"Candies, TWIZZLERS CHERRY BITES",sr_legacy_food,19,2019-04-01,1413.0,2.97,1.7,79.38,0.1
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",sr_legacy_food,19,2019-04-01,388.0,2.0,7.5,80.89,0.2
