fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",sr_legacy_food,18,2019-04-01,1286.0,5.88,13.24,41.18,1.2
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",sr_legacy_food,18,2019-04-01,1381.0,4.34,11.27,53.42,1.4
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",sr_legacy_food,18,2019-04-01,1577.0,6.1,3.7,79.8,
167515,"George Weston Bakeries, Thomas English Muffins",sr_legacy_food,18,2019-04-01,972.0,8.0,1.8,46.0,
167516,"Waffles, buttermilk, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,1144.0,6.58,9.22,41.05,2.2
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",sr_legacy_food,18,2019-04-01,309.0,7.42,9.49,48.39,2.6
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",sr_legacy_food,18,2019-04-01,1209.0,6.92,9.4,44.16,2.4
167519,"Waffle, plain, frozen, ready-to-heat, microwave",sr_legacy_food,18,2019-04-01,298.0,6.71,9.91,45.41,2.4
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",sr_legacy_food,18,2019-04-01,501.0,5.1,24.83,64.3,1.9
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",sr_legacy_food,18,2019-04-01,484.0,6.08,22.42,64.48,2.7
167522,"Pie, Dutch Apple, Commercially Prepared",sr_legacy_food,18,2019-04-01,1215.0,2.17,11.5,44.54,1.6
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",sr_legacy_food,18,2019-04-01,468.0,5.52,28.74,46.79,1.4
167524,"Waffles, chocolate chip, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,297.0,5.8,10.1,45.68,1.5
167525,"Tostada shells, corn",sr_legacy_food,18,2019-04-01,474.0,6.15,23.38,64.43,5.8
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",sr_legacy_food,18,2019-04-01,1564.0,7.12,17.12,47.84,0.7
167527,"Bread, pound cake type, pan de torta salvadoran",sr_legacy_food,18,2019-04-01,1634.0,7.06,17.45,51.29,1.7
167528,"Pastry, Pastelitos de Guava (guava pastries)",sr_legacy_food,18,2019-04-01,379.0,5.48,18.5,47.76,2.2
167529,"Crackers, snack, Goya Crackers",sr_legacy_food,18,2019-04-01,1812.0,14.25,13.35,64.35,3.8
167530,"Crackers, cream, Gamesa Sabrosas",sr_legacy_food,18,2019-04-01,484.0,7.01,20.37,64.55,2.4
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",sr_legacy_food,18,2019-04-01,1941.0,7.19,19.5,64.88,2.4
167532,"Bread, white wheat",sr_legacy_food,18,2019-04-01,238.0,10.66,2.15,43.91,9.2
167533,"Bagels, wheat",sr_legacy_food,18,2019-04-01,1047.0,10.2,1.53,48.89,4.1
167534,"Cream puff, eclair, custard or cream filled, iced",sr_legacy_food,18,2019-04-01,1398.0,4.41,18.52,37.43,0.9
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",sr_legacy_food,18,2019-04-01,297.0,8.01,7.58,49.27,2.4
167536,"Snacks, beef jerky, chopped and formed",sr_legacy_food,23,2019-04-01,410.0,33.2,25.6,11.0,1.8
167537,"Snacks, corn-based, extruded, chips, plain",sr_legacy_food,23,2019-04-01,539.0,6.17,33.36,57.27,4.0
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",sr_legacy_food,23,2019-04-01,2188.0,7.0,32.7,56.2,5.2
167539,"Snacks, corn-based, extruded, cones, plain",sr_legacy_food,23,2019-04-01,2134.0,5.8,26.9,62.9,1.1
167540,"Snacks, fruit leather, pieces",sr_legacy_food,19,2019-04-01,1504.0,1.0,2.68,82.82,0.0
167541,"Snacks, fruit leather, rolls",sr_legacy_food,19,2019-04-01,371.0,0.1,3.0,85.8,0.0
167542,"Snacks, granola bars, hard, plain",sr_legacy_food,23,2019-04-01,1972.0,10.1,19.8,64.4,5.3
167543,"Snacks, granola bars, hard, almond",sr_legacy_food,23,2019-04-01,2071.0,7.7,25.5,62.0,4.8
167544,"Snacks, granola bars, soft, uncoated, raisin",sr_legacy_food,23,2019-04-01,1874.0,7.6,17.8,66.4,4.2
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",sr_legacy_food,23,2019-04-01,1950.0,5.8,24.9,63.8,3.4
167546,"Candies, honey-combed, with peanut butter",sr_legacy_food,19,2019-04-01,1981.0,8.72,20.18,67.41,1.9
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",sr_legacy_food,23,2019-04-01,2126.0,10.2,31.1,53.4,2.8
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",sr_legacy_food,23,2019-04-01,1807.0,9.8,20.0,62.2,4.2
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",sr_legacy_food,23,2019-04-01,583.0,7.29,43.55,45.06,8.1
167550,"Snacks, popcorn, cakes",sr_legacy_food,23,2019-04-01,1607.0,9.7,3.1,80.1,2.9
167551,"Snacks, popcorn, caramel-coated, with peanuts",sr_legacy_food,23,2019-04-01,1674.0,6.4,7.8,80.7,3.8
167552,"Snacks, popcorn, caramel-coated, without peanuts",sr_legacy_food,23,2019-04-01,1803.0,3.8,12.8,79.1,5.2
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",sr_legacy_food,23,2019-04-01,2102.0,4.56,26.14,64.76,3.2
